from_bus,to_bus,Yff_r,Yff_i,Yft_r,Yft_i,Ytf_r,Ytf_i,Ytt_r,Ytt_i,rate_a
0.0,63.0,4.0027575,-27.344038,-4.0027575,27.347082,-4.0027575,27.347082,4.0027575,-27.344038,110.5
0.0,63.0,4.0027575,-27.344038,-4.0027575,27.347082,-4.0027575,27.347082,4.0027575,-27.344038,110.5
0.0,70.0,5.3876047,-34.775238,-5.3876047,34.777916,-5.3876047,34.777916,5.3876047,-34.775238,110.5
0.0,70.0,5.3876047,-34.775238,-5.3876047,34.777916,-5.3876047,34.777916,5.3876047,-34.775238,110.5
1.0,6.0,0.34703404,-2.0521755,-0.34703404,2.0838554,-0.34703404,2.0838554,0.34703404,-2.0521755,49.0
9.0,1.0,2.5826907,-6.303635,-2.5826907,6.3125205,-2.5826907,6.3125205,2.5826907,-6.303635,49.0
21.0,2.0,11.322863,-46.970665,-11.322863,46.97237,-11.322863,46.97237,11.322863,-46.970665,110.5
54.0,2.0,9.379656,-22.534828,-9.379656,22.537394,-9.379656,22.537394,9.379656,-22.534828,49.0
3.0,356.0,4.576958,-32.66506,-4.576958,32.69256,-4.576958,32.69256,4.576958,-32.66506,261.5
24.0,4.0,2.6018028,-11.590507,-2.6018028,11.596526,-2.6018028,11.596526,2.6018028,-11.590507,74.5
4.0,60.0,9.174373,-38.0432,-9.174373,38.04531,-9.174373,38.04531,9.174373,-38.0432,110.5
66.0,4.0,8.383851,-20.484041,-8.383851,20.48678,-8.383851,20.48678,8.383851,-20.484041,49.0
6.0,14.0,0.43353826,-2.578029,-0.43353826,2.6033888,-0.43353826,2.6033888,0.43353826,-2.578029,49.0
30.0,6.0,0.61918813,-3.5160928,-0.61918813,3.5367076,-0.61918813,3.5367076,0.61918813,-3.5160928,49.0
7.0,31.0,3.1853533,-7.7788997,-3.1853533,7.7861047,-3.1853533,7.7861047,3.1853533,-7.7788997,49.0
7.0,68.0,5.992224,-26.189753,-5.992224,26.192518,-5.992224,26.192518,5.992224,-26.189753,74.5
9.0,14.0,0.57368684,-3.4260056,-0.57368684,3.4451704,-0.57368684,3.4451704,0.57368684,-3.4260056,49.0
9.0,29.0,0.43805826,-2.605383,-0.43805826,2.630483,-0.43805826,2.630483,0.43805826,-2.605383,49.0
11.0,86.0,1.112955,-4.599797,-1.112955,4.6171618,-1.112955,4.6171618,1.112955,-4.599797,74.5
274.0,11.0,0.869824,-3.7858126,-0.869824,3.8048327,-0.869824,3.8048327,0.869824,-3.7858126,74.5
12.0,30.0,0.5983684,-3.5750203,-0.5983684,3.5933952,-0.5983684,3.5933952,0.5983684,-3.5750203,49.0
46.0,12.0,2.4716492,-15.959401,-2.4716492,15.965236,-2.4716492,15.965236,2.4716492,-15.959401,110.5
85.0,12.0,1.8147373,-4.423354,-1.8147373,4.435999,-1.8147373,4.435999,1.8147373,-4.423354,49.0
13.0,46.0,1.5398647,-6.3757725,-1.5398647,6.3883224,-1.5398647,6.3883224,1.5398647,-6.3757725,74.5
13.0,82.0,1.1679024,-5.1910815,-1.1679024,5.2044916,-1.1679024,5.2044916,1.1679024,-5.1910815,74.5
15.0,33.0,1.4764062,-8.857453,-1.4764062,8.864899,-1.4764062,8.864899,1.4764062,-8.857453,49.0
67.0,15.0,1.0727268,-6.114597,-1.0727268,6.126497,-1.0727268,6.126497,1.0727268,-6.114597,49.0
17.0,16.0,4.4437838,-10.855734,-4.4437838,10.860899,-4.4437838,10.860899,4.4437838,-10.855734,49.0
16.0,28.0,1.5314682,-6.687244,-1.5314682,6.698049,-1.5314682,6.698049,1.5314682,-6.687244,74.5
36.0,16.0,6.372121,-28.400936,-6.372121,28.40339,-6.372121,28.40339,6.372121,-28.400936,110.5
46.0,16.0,1.4044944,-6.0741425,-1.4044944,6.0861425,-1.4044944,6.0861425,1.4044944,-6.0741425,75.0
